,Unnamed: 0,title,abstract,affiliation_code,affiliation_name,affiliation_city,affiliation_country,category,average_length,polarity,subjectivity,passive_active
0,0,A Proposed Wireless Solar Piezo Hybrid Charging System,The aim of this work is to design and construct Wireless Solar Piezo Hybrid Charging System which will prove to be highly beneficial for different parts of our lifestyle to harness energy which can be used anywhere according to its need and application. This device will generate energy using piezoelectric sensors and solar panels and store it in a battery and the stored energy can be used accordingly for various applications. The system can be monitored wirelessly using Zigbee Technology. This device has vast applications in various fields and is easy to handle and user friendly. This charging system is much beneficial than the regular charging system as it charges up quickly and uses renewable energies which can be harnessed easily.,101721675,Lokmanya Tilak College of Engineering,Navi Mumbai,India,"['1706', '1705', '1710']",24.2,0.1759090909090909,0.553053613053613,1
1,1,TCP with Network Coding Performance Under Packet Reordering,"The adverse impact of packet reordering besides packet loss is significant on the goodput performance of TCP (Transmission Control Protocol), a dominant protocol for reliable and connection-oriented transmission. With the primary purpose of improving the TCP goodput in lossy networks, the Network Coding technique was introduced. TCP/NC (TCP with Network Coding) is a promising approach which can recover lost packets without retransmission. However, the packet reordering has not been considered, and no study on that issue is found for TCP/NC. Therefore, in this paper, we investigate the goodput performance degradation due to the out-of-order reception of data or acknowledgment packets and propose a new scheme for TCP/NC to estimate and adapt to the packet reordering. The results of our simulation on ns-3 (Network Simulation 3) suggest that the proposed scheme can maintain the TCP goodput well in a wide range of packet reordering environments compared to TCP NewReno as well as TCP/NC.",60031838,Kyushu Institute of Technology,Kitakyushu,Japan,"['1706', '1705', '1710']",25.333333333333332,0.14772727272727273,0.5174242424242425,1
2,2,Understanding Students Personality to Detect Their Learning Differences,"Students have different levels of intellectual capabilities and learning styles which affect their understanding of specific academic concepts and gaining specific skills. Educational institutions dedicate much efforts to support at-risk students. However, this support usually comes as a reaction of students’ low performance, while learners need proactive support to keep their academic performance high, this needs a deep understanding of students learning capabilities and the real support they need accordingly. This research tries to investigate students’ personalities and the impact of learners’ personalities on their academic capabilities. A sample of 180 students was involved in this pilot study to evaluate the impact of their personalities on their academic standing. The sample collected from three different computing majors which are security forensics, Networking, and Application development majors. Myers-Briggs Type Indicator (MBTI) test is conducted twice using two different platforms and in different periods to figure out any random answers might happen by the participants. We excluded anomalies found and only quit fair data are kept for processing. This paper implements t-test to check if learners’ personalities affect their academic standing which might drop them into at-risk category. The experimental results showed that students’ personalities have a direct impact on their knowledge acquisition.",60074310,Higher Colleges of Technology,Abu Dhabi,United Arab Emirates,"['1706', '1705', '1710']",20.1,0.046400000000000004,0.3556,1
3,3,Air Quality Monitoring System Through Mobile Sensing in Metropolitan City,"The most hazardous form of air pollution is the particulate matter for the reason that it not only affects the human health but also has an impact on the earth’s climate and precipitation levels. This paper proposes an easy and cost-efficient method to measure dust particle, the volume of CO (carbon monoxide), temperature and humidity for the weather forecast. A dust sensor, gas sensor, temperature, and humidity sensor collects the data from the environment. This data is given to the Node MCU which is an open source IoT platform running on ESP8266. The ESP8266 is a low-cost WI-Fi microchip which processes the data. The Processed data is given to the IoT server. When the mobile application requests for data it is fetched from the IoT server.",60114492,Dayananda Sagar College of Engineering,Bengaluru,India,"['1706', '1705', '1710']",18.0,0.2555555555555556,0.638888888888889,1
4,4,GHSA: Task Scheduling in Heterogeneous Cloud,"Cloud Environments provides affords effective distribution of resource on need, which makes depart from others providing splendid performance, scalability, cost efficient and less maintenance. Task Scheduling increases the dynamic allocation of resource to increase performance and decrease the cost. A solution considering makespan and cost, are used as constraints for the optimization problem. A combination of Gravitational search algorithm (GSA) and Harmony search (HS) is used and created a new hybrid algorithm called Gravitational Harmony Search algorithm (GHSA) which produced enormous improvement over other scheduling algorithms. The simulation is proposed in a cloudsim programming environment and results proved the effectiveness of the cost minimizing and makespan parameters. The proposed algorithm works superior over The simulation is proposed in a cloudsim programming environment and results proved the effectiveness of the cost minimizing and makespan parameters.",60100946,St. Joseph's College of Engineering,Chennai,India,"['1706', '1705', '1710']",22.333333333333332,0.24725378787878785,0.5828598484848485,1
5,5,Efficient QoS Routing in MANET by a Novel Hybrid Technique,"Administering and retaining Quality of Service (QoS) in Mobile Ad-Hoc Network (MANET) is a challenging task due to the autonomous behavior of the nodes. Increasing application demand and end-user support necessitate optimization so as to improve its performance. Prioritizing this requirement, this manuscript proposes a hybrid optimization technique; harmonizing Ant Colony Optimization (ACO) and Fitness Distance Ratio (FDR) based Particle Swarm Optimization (PSO) to improve QoS. To mitigate the trade-offs in QoS achievement, ACO is focused to maximize network throughput and FDRPSO is directed to attune ACO solution with energy and overhead. The proposed technique is tested in a MANET scenario with 100 mobile nodes and the performance of the network is investigated using throughput, packet delivery ratio, delay, overhead and energy utilization.",60027171,Annamalai University,Chidambaram,India,"['1706', '1705', '1710']",24.6,0.25833333333333336,0.6916666666666668,1
6,6,Design of energy-aware PRoPHET and spray-and-wait routing protocols for opportunistic networks,"Opportunistic networks are kind of networks where connectivity disruption and topology changes are frequent. In such environment, nodes are responsible to dynamically discover the next hop that can be used to forward the message closer to the destination using the so-called store-and-forward mechanism. In this sense, the performance of nodes in transferring the message to the destination is highly influenced by the routing and forwarding algorithm employed by the network. A number of efficient benchmark routing protocols for OppNets have been investigated, including the PRoPHET and Spray-and-Wait protocols. This chapter proposes energy-efficient versions of the PRoPHET and Spray-and-Wait routing protocols that are designed to reduce the number of message copies generated in the network and ensures that only nodes with high residual energy are selected as next hop. Through simulation, we have proven that our proposed energy-efficient versions of the mentioned routing protocols outperform the original version in terms of energy consumption, overhead ratio and number of messages delivered to destination.",60030838,Ryerson University,Toronto,Canada,"['1706', '1705', '1710']",26.833333333333332,0.15949999999999998,0.508,1
7,7,Identification of Profile-Injection Attacks in Recommendation System,"The suggestion framework makes utilization of different separating calculations. They’re Collaborative, substance and cross breed separating procedures. Cooperative separating procedures are utilized to create modernized expectation roughly the enthusiasm of client to social affair a similar rating data. So it’s miles easily assaulted by utilizing “Shilling Attackers”. The assailants may likewise make the phony client profiles to infuse the database of rating framework, because of which a couple of wrong contraptions are prescribed to the individual. In this paper, we recreate the three sorts of shilling assaults like unsystematic, standard, temporary fad. The proposed administered calculation to distinguish the aggressor’s profile. The proposed measurable strategy score departure from denote concurrence (SDDC), level of correspondence (LOC) to unearth the assailant profile from authentic profile and also choose the real profile are named an aggressor profile. Shilling assaults decrease the exactness of the synergistic recommendation of this nature, given in the addresses, will be erased by our typesetters.",60033058,Thiagarajar College of Engineering,Madurai,India,"['1706', '1705', '1710']",17.333333333333332,0.051515151515151514,0.4227272727272727,1
8,8,Mining the Associated Patterns in Big Data Using Hadoop Cluster,"The level of data usage goes on increasing day by day in every aspect of life, the notion of data mining and Big data lies in the fact that, how the related (associated) pattern or the information is maintained and reused. This doesn’t mean it can only be implemented in the huge volume of data. It can be applied to all fields of data collection, but the relative need is the association existing between the data sets. There exists n number of methods to find the associations between the data, but comforting them to scale up with the big data seems really challenging. The paper aims at retrieving the recurrent patterns with respect to big datasets. Apriori algorithm is used to fetch the associated patterns and their performance enhancements over various data sets were evaluated.",60023330,Sathyabama Institute of Science and Technology,Chennai,India,"['1706', '1705', '1710']",22.5,0.05875000000000001,0.47874999999999995,1
9,9,A reliable firefly-based routing protocol for efficient communication in vehicular Ad Hoc networks,"In vehicular ad hoc networks (VANETs), the transfer of data packets from source to destination involves the use of an efficient path search mechanism. This paper proposes such mechanism, designed in the form of firefly-swarm next hop selection algorithm with angular routing (referred to as efficient firefly routing protocol (EFR)), meant to discover a suitable route from source to destination for data packets transfer. In the proposed EFR protocol, the swarm intelligence of fireflies is deployed to find the destination node using social interaction among fireflies. In doing so, the attractiveness, brightness, position of other fireflies, neighbor’s angular position, and destination coordinates of each firefly are considered as parameters to compute its next flight toward an intermediate or destination node. Simulations are conducted to evaluate the performance of the proposed EFR protocol, showing that it outperforms the dynamic source routing (DSR) protocol in terms of throughput, packet delivery ratio, percentage of lost packet, and end-to-end delay, both under static and high mobility scenarios.",60029284,University of Delhi,New Delhi,India,"['1706', '1705', '1710']",32.6,0.12425925925925926,0.36648148148148146,1
