,Unnamed: 0,Unnamed: 0.1,title,abstract,affiliation_code,affiliation_name,affiliation_city,affiliation_country,category,average_length,polarity,subjectivity,passive_active,verb_ratio,noun_ratio,prof_ratio
0,0,0,Fabrication and characterization of 3D printing induced orthotropic functional ceramics,"The orthotropic functional properties of additively manufactured ceramics due to the fabrication process was characterized in this study. Spherical, environmentally benign barium titanate (BaTiO3) powders were fabricated using binder jetting 3D printing. Dielectric and piezoelectric properties of these ceramics were characterized as a function of the printing orientation. The dielectric constant of the samples tested normal to the printing layers was observed to be 20% higher than those tested in the parallel fashion. Similarly, the piezoelectric response was found to be over 35% in the normal orientation. With these results, it was shown that the electroding orientation has a direct influence on the functional properties of additively manufactured ceramics. Overall, with less than 37% of the theoretical density, the average piezoelectric coefficient for the perpendicularly tested ceramics was found to be 152.7 pC N-1, which is 80% of the theoretical value. The high piezoelectric response obtained with such low densities can lead to the development of more mass efficient, and cost-effective sensing and energy harvesting devices, as well as structures that can be tuned to respond based on the direction of the loads applied.",60007801,The University of Texas at El Paso,El Paso,United States,['1711'],23.0,0.04824074074074074,0.36472222222222217,1,0.1201923076923077,0.019230769230769232,0.2961165048543689
1,1,1,A piecewise controllable tunable lens with large aperture for eyewear application,"Here, we present a piecewise controllable tunable lens with large aperture which is composed of a soft polymer lens, an shape memory alloy (SMA) driven iris diaphragm and an SMA driven latch. The SMA driven diaphragm expands the soft polymer lens in the radial direction, thereby varying the focal length. The soft lens has the large aperture of 35 mm in diameter and shows focal length tunability of 31.7% (175-230 mm) under current signal control. The solid characteristics of the polymer lens assure robustness against gravitational force. In addition, the locking mechanism enables the tunable lens to be piecewise controllable and provides high energy efficiency. Due to these advantages, the fabricated tunable lens module can be implemented in various eyewear applications.",60032144,Korea Advanced Institute of Science &amp; Technology,Yusong,South Korea,['1711'],20.166666666666668,0.06363095238095239,0.3810119047619048,1,0.09352517985611511,0.04316546762589928,0.2846715328467153
2,2,2,Building blocks of negotiating agents for healthcare data,"The healthcare market demands advanced, flexible, and secure solutions for personal health data sharing. In our paper, we present preliminary work that proposes a distributed infrastructure of negotiating agents for the healthcare domain. This infrastructure will support healthcare stakeholders to share and access patient health data in a secure way, thus providing benefits for patients and their treatment. Distributed ledger technologies and smart contracts can be considered as a basis for negotiations between distributed agents that carry health-related data. We present an overview of related work and outline the research methodology.",60004490,Norsk Regnesentral,Oslo,Norway,"['1712', '1709', '1707', '1705']",18.2,0.1767857142857143,0.3928571428571429,1,0.16666666666666666,0.0,0.3
3,3,3,A real-time detection drone algorithm based on instance semantic segmentation,"With the rapid development of drones, drones are widely used in various fields and bring convenience to people's production and life. However, they also bring security problems to society and the country. Especially in airports or military areas, the flight of drones can cause some problems. In order to effectively supervise the drone, this paper proposes a real-time detection drone algorithm HR-YOLACT which is based on instance semantic segmentation, and designed a new drone data set. The proposed algorithm combines the real-time instance semantic segmentation algorithm YOLACT with the deep high-resolution representation classification network HRNet. Firstly, feature maps are extracted by HRNet's backbone network. Secondly, the feature pyramid network is used to further extract image features, so that the network has better classification ability. Finally, the improved prediction head is utilized to detect the boxes of drones. In addition, this paper uses cross entropy instead of focal loss as the loss function to obtain better network training speed and quality. The experimental results show that HR-YOLACT has faster detection speed and higher detection precision than existing popular real-time object detection and real-time instance semantic segmentation algorithms.",60092530,"Huawei Technologies Co., Ltd.",Shenzhen,China,"['1712', '1709', '1707', '1705']",18.6,0.1609625668449198,0.4875222816399288,1,0.0945945945945946,0.02252252252252252,0.30288461538461536
4,4,4,Fast image dehazing based on guided filter and look-up-table,"Video surveillance has been applied to all aspects of daily life such as security surveillance and driving records. However, it is inevitable that bad weather such as fog and haze will greatly reduce the visibility of the image, and make it impossible to record valuable data. In order to solve this problem, we propose in this paper a fast image dehazing algorithm based on dark channel prior and guiding filter. In addition, we further improve the processing speed by using look-up-table. Based on the prior theory of dark channel, this algorithm first extracts coarser transmission in blocks, then joint bilateral filtering is applied to refine the details. Finally, clear images are recovered with the refined dark channel map and the transmission map. In addition, in order to reduce the computation load in joint bilateral filtering and accelerate the algorithm, we use a two-dimensional look-uptable to avoid the cumbersome computation in weight calculation. Experimental results show that the proposed algorithm can improve the image quality, especially it removes halos on the edges at object boundaries. In addition, the method has low computation and can be applied in practice.",60014643,Wuhan University of Science and Technology,Wuhan,China,"['1712', '1709', '1707', '1705']",20.777777777777782,-0.023333333333333317,0.4616666666666667,1,0.13488372093023257,0.013953488372093023,0.25120772946859904
5,5,5,Application of improved LeNet-5 network in traffic sign recognition,"Considering that most convolutional neural network (CNN) models designed for traffic sign recognition (TSR) have sacrificed more resources and complicated network model development while pursuing higher performance, LeNet-5 shallow CNN with low complexity has been selected for improvement. Increasing the number of convolution kernel in the first convolution layer (C1 layer) and the third convolution layer (C3 layer) while reducing the size of the convolution kernel in C3 layer. Introducing Rectified Linear Unit (ReLU) function with better performance. The maximum pooling is introduced instead of mean pooling. Besides, the output layer employs support vector machine (SVM) to shorten the operation time. The research results demonstrate that the improved LeNet-5 network has an identification accuracy rate of 98.12% and the identification time is 0.154s for traffic signs in German Traffic Sign Recognition Benchmark (GTSRB), which could guarantee the real-time performance of the system and effectively reduce the complexity of the system on the basis of a high recognition rate.",60010955,Changchun University of Science and Technology,Changchun,China,"['1712', '1709', '1707', '1705']",26.33333333333333,0.12416666666666665,0.4739102564102564,1,0.09782608695652174,0.07065217391304347,0.34065934065934067
6,6,6,Improving findability of open data beyond data catalogs,"There is a vast amount of datasets available as Open Data on the Web. However, it is challenging for consumers to find datasets relevant to their goals. This is because the available metadata in catalogs is not descriptive enough. Nevertheless, datasets exist in various types of contexts not expressed in the metadata. These may include information about the data publisher, the legislation related to dataset publication, etc. In this paper we describe an idea of a data model that enables consumers to better understand the data. We propose to define a formal model for representation of the datasets and their contexts, and we propose to apply existing similarity techniques, adjust them to fit each identified dataset context type and combine them together to measure similarity of datasets in new ways, improving their findability.",60016605,Charles University,Prague Praha,Czech Republic,"['1712', '1709', '1707', '1705']",19.0,0.22803030303030306,0.5795454545454546,1,0.14285714285714285,0.02040816326530612,0.3129251700680272
7,7,7,"Analysis of forensic fingerprints in facebook images, the universal antiforensic attack","Now days Facebook is used as one of the most effective communication media. Cheaper digital devices have made it easy, to capture, edit and share images on Facebook. Consequently, image integrity is often an issue for these images. Most of the internet images do not use any embedded active security mechanism, such as watermarking and steganography. Hence, passive digital image forensic techniques are often used to investigate these images. These techniques analyze various fingerprints introduced during tampering attacks, e.g. Noise, JPEG fingerprints, resampling artefacts, etc. Anitforensic attacks searches techniques to hide these forensic fingerprints. Most of the antiforensic techniques target a single forensic fingerprint. In this paper, we have investigated some of the very common forensic techniques on Facebook images. We found that JPEG fingerprints fail on Facebook images. In addition, the common resampling detector and noise inconsistency also fail on these images. Hence, Facebook can be considered as the universal antiforensic attack without degrading visual quality of an image.",60114821,Terna Engineering College,Navi Mumbai,India,"['1712', '1709', '1707', '1705']",12.307692307692307,0.037563025210084006,0.39397759103641455,1,0.125,0.043478260869565216,0.42162162162162165
8,8,8,Bayesian learning of latent representations of language structures,"We borrow the concept of representation learning from deep learning research, and we argue that the quest for Greenbergian implicational universals can be reformulated as the learning of good latent representations of languages, or sequences of surface typological features. By projecting languages into latent representations and performing inference in the latent space, we can handle complex dependencies among features in an implicit manner. The most challenging problem in turning the idea into a concrete computational model is the alarmingly large number of missing values in existing typological databases. To address this problem, we keep the number of model parameters relatively small to avoid overfitting, adopt the Bayesian learning framework for its robustness, and exploit phylogenetically and/or spatially related languages as additional clues. Experiments show that the proposed model recovers missing values more accurately than others and that some latent variables exhibit phylogenetic and spatial signals comparable to those of surface features.",60011001,Kyoto University,Kyoto,Japan,"['1706', '1702']",30.2,0.15494505494505495,0.4355311355311355,1,0.13580246913580246,0.0,0.2716049382716049
9,9,9,Active suppression of the backward motion in a parasitic motion principle (PMP) piezoelectric actuator,"In the piezoelectric driving field, backward motion commonly exists in output displacement curves of the actuators designed by various driving principles, which deteriorates the output performances and increases difficulty in subsequent control. To suppress the backward motion, a synergic motion principle (SMP) was proposed in this paper, which employed two piezoelectric stacks (PESs), one for driving and the other for lifting. By synergic driving of these two PESs, the contact force during the driving process could be effectively controlled and thus the backward motion could be actively suppressed. To verify the feasibility, an actuator prototype was designed and fabricated, and an experimental system was established to test its output performances. By theoretical analysis and experiments, the relationship of the driving voltages for these two PESs was determined. Under the optimized experimental conditions, it showed that the actuator could output stepping displacement without backward motion when working under the SMP. By comparing the results with those obtained when the actuator worked under the parasitic motion principle (PMP), the feasibility and validity of the proposed SMP for suppressing the backward motion were further confirmed.",60007711,Jilin University,Changchun,China,['1711'],26.0,0.053472222222222233,0.4979166666666667,1,0.13592233009708737,0.024271844660194174,0.2912621359223301
10,10,10,Detection of behavioral facilitation information in disaster situation,"Disasters of many types have occurred in recent years, such as strong earthquakes, heavy rain, and typhoons. In such disaster situations, people often use social network services (SNS) and exchange information of all types to help each other. Especially, people exchange information using Twit-ter during disasters. Such tweet messages include much in-formation that promotes people's behaviors. We designate such tweets as behavioral facilitation tweets. When psycho-logically unstable in the aftermath of a disaster, behavioral facilitation tweets can strongly affect people, irrespective of a message's authenticity. We regard the extraction of the be-havioral facilitation tweets automatically as important. In this paper, we propose a method that extracts behavioral facilitation tweets in disaster situations. Specifically, we pro-pose and compare three methods to extract behavioral facil-itation tweets in disaster situations: Rule-based, support vec-tor machine (SVM) and long short-term memory (LSTM). Furthermore, we conducted experiments to assess the bene- ts of our proposed method.",60029341,Konan University,Kobe,Japan,"['1712', '1709', '1707', '1705']",15.0,0.10833333333333336,0.5172222222222224,1,0.10606060606060606,0.020202020202020204,0.4444444444444444
