,Unnamed: 0,title,abstract,affiliation_code,affiliation_name,affiliation_city,affiliation_country,category,average_length,polarity,subjectivity,passive_active
0,0,Building maps of protein structure spaces in template-free protein structure prediction,"An important goal in template-free protein structure prediction is how to control the quality of computed tertiary structures of a target amino-acid sequence. Despite great advances in algorithmic research, given the size, dimensionality, and inherent characteristics of the protein structure space, this task remains exceptionally challenging. It is current practice to aim to generate as many structures as can be afforded so as to increase the likelihood that some of them will reside near the sought but unknown biologically-active/native structure. When operating within a given computational budget, this is impractical and uninformed by any metrics of interest. In this paper, we propose instead to equip algorithms that generate tertiary structures, also known as decoy generation algorithms, with memory of the protein structure space that they explore. Specifically, we propose an evolving, granularity-controllable map of the protein structure space that makes use of low-dimensional representations of protein structures. Evaluations on diverse target sequences that include recent hard CASP targets show that drastic reductions in storage can be made without sacrificing decoy quality. The presented results make the case that integrating a map of the protein structure space is a promising mechanism to enhance decoy generation algorithms in template-free protein structure prediction.",60018319,"George Mason University, Fairfax Campus",Fairfax,United States,['1706'],25.0,0.21083333333333334,0.5941666666666666,1
1,1,Simulation of spatial and temporal distribution of singlet oxygen in port wine stain during vascular targeted photodynamic therapy,"Vascular-targeted photodynamic therapy (V-PDT) has been demonstrated to be an effective treatment modality for nonmalignant diseases such as capillary malformations port wine stains (PWS). V-PDT treatment of PWS involves a complex interaction of light, photosensitizer (PS), oxygen and biological tissue. A three-dimensional (3D) model of PWS with a Y-bifurcation blood vessels was proposed for mathematical simulation of the spatial and temporal distribution of singlet oxygen (1O2), which related to the distribution of light, PS and oxygen. A graphics processing units (GPU)-based method, Monte Carlo eXtreme (MCX), was applied to calculate the light deposition in the PWS, and a set of differential equations were utilized to describe the photochemical reactions involved in V-PDT. Using the obtained light energy deposition and the distributions of the PS and oxygen, a dynamic change model of the cumulative concentration of 1O2 ([1O2]) was estimated. The data show that the smaller vessels are more likely to acquire more [1O2].",60069744,General Hospital of People's Liberation Army,Beijing,China,['1706'],25.5,0.185,0.5711111111111111,1
2,2,Optimal PIDA controller design for quarter car suspension system by intensified current search,"This paper presents an optimal proportional-integral-derivative-accelerated (PIDA) controller design for a quarter car suspension system to improve the ride comfort and road handling. Based on the modern optimization, the proposed PIDA controller design framework is based on the intensified current search (ICuS) optimization which is one of the most efficient trajectory-based metaheuristic optimization techniques. By comparison, a passive quarter car suspension system controlled by the PID and PIDA controllers optimized by the ICuS are tested against four different road profiles, i.e. bumpy road, pothole road, ramp road and random road. As results, the PIDA controller can provide very satisfactory responses with smoother and faster than the PID controller, significantly.",115607838,Southeast Asia University,Bangkok,Thailand,"['1705', '1706', '1710']",21.8,0.1107142857142857,0.4964285714285714,1
3,3,Self-similarity analysis of sea clutter under the existence of different moving target,"In frequency domain, moving targets with different velocities will affect the different frequency components of sea clutter spectrum. In order to analyze the nonlinear influence, the piecewise fractional Brownian motion is introduced, which builds the relation between different spectrum parts and the fine/coarse scales, i.e. the target echoes at different velocities can affect the self-similarities of sea clutter at different scales in time domain. Based on the real X-band and Sband sea clutter data, this influence mechanism is studied and verified. The results show that the slow-moving target mainly affects the self-similarity of the sea clutter sequence at the coarse time scales, and the fast-moving target mainly affects the self-similarity of the sea clutter sequence at the fine time scales. This conclusion lays the foundation for introducing the fractal theory into the sea clutter spectrum analysis and target detection in frequency domain.",60073458,China Aerospace Science and Industry Corporation,Beijing,China,['1706'],23.666666666666668,0.095,0.4966666666666666,1
4,4,Stock closing price prediction using machine learning,"This research was prepared to predict the closing price of the stock in the Stock Exchange of Thailand (SET). We are using the Multi-Layer Perceptron model, Support Vector Machine model, and Partial Least Square Classifier to predict the closing price of the stock. In the present, people have more knowledge and understanding of investing in the stock market then the Thai stock market has grown significantly. From the statistical data, we can find the movement of stock prices in that stock market move in a cycle. Form this point; we have the idea that if we can predict the stock price nearby real price. We can be investing at the right time and help investors to reduce investment risks. The experimental result shows that Partial Least Square is the best algorithm of the three algorithms to predict the stock closing price.",60012718,Mahidol University,Nakhon Pathom,Thailand,"['1705', '1706', '1710']",20.142857142857142,0.15097402597402598,0.39188311688311683,1
5,5,"News headline generation using stems, lemmas and grammemes ГЕНЕРАЦИЯ ЗАГОЛОВКОВ НОВОСТНЫХ СТАТЕЙ, ИСПОЛЬЗУЮЩАЯ СТЕМЫ, ЛЕММЫ И ГРАММЕМЫ"," All rights reserved.Headline generation is a task that has a good solution based on seq2seq models with an attention mechanism. However, it is still quite challenging to deal with morphologically rich languages, such as Russian, which have many word forms and therefore larger vocabularies. To deal with complex dependencies arising in such languages we propose several approaches based on using stems and grammemes. We applied these approaches to the pointer-generator network and took second place in the competition on headline generation held by the conference Dialogue-2019.",60000308,Moscow Institute of Physics and Technology,Moscow,Russian Federation,['1706'],21.75,0.16136363636363638,0.4318181818181818,0
6,6,Integration of multi-omics data to mine cancer-related gene modules,"The identification of cancer-related genes is a major research goal, with implications for determining the pathogenesis of cancer and identifying biomarkers for early diagnosis and treatment. In this study, by integrating multi-omics data, including gene expression, DNA copy number variation, DNA methylation, transcription factors, miRNA, and lncRNA data, we propose a method for mining cancer-related genes based on network models. First, using random forest-based feature selection method multi-omics data are integrated to identify key regulatory factors that affect gene expression, and then genome-wide regulatory networks are constructed. Next, by comparing the regulatory networks of key candidate genes in variant samples and non-variant samples, a differential expression regulatory network is generated. The differential network contains a collection of abnormal regulatory genes of key candidate genes. Then, by introducing the functional similarity as a distance metric for gene sets, a density-based clustering method is used to mine gene modules related to cancer. We applied this method to LUSC (lung squamous cell carcinoma) and mined cancer-related gene modules composed of 20 genes. GO function and KEGG pathway analyses indicated that the modules were closely related to cancer. A survival analysis was used to verify that the excavated gene modules can effectively distinguish between high- and low-risk groups. Overall, these results suggest that the proposed method can be used to identify cancer-related gene modules, providing a basis for the development of biomarkers for diagnosis and treatment.",60092860,Beijing University Of Civil Engineering And Architecture,Beijing,China,['1706'],23.2,0.05173076923076923,0.5210256410256411,1
7,7,Distributional models with syntactic contexts for the measurement of word similarity in brazilian portuguese," Berlitz, Denis A. Araujo, Allan B. Silva, Rodrigo R. Righi and Sandro J. Rigo.The similarity between words constitutes significant support to tasks in natural language processing. Several works use Lexical resources such as WordNet for semantic similarity and synonym identification. Nevertheless, words out-of-vocabulary or missing links between senses are perceived problems of this approach. Distributional-based proposals like word embeddings have successfully been used to meet such problems, but the lack of contextual information can prevent the achievement of even better results. The distributional models that include contextual information can bring advantages to this area, but these models are still scarcely explored. Therefore, this work studies the advantages of incorporating syntactic information in the distributional models, fostering for better results in semantic similarity approaches. For that purpose, the current work explore existing lexical and distributional techniques regarding the measurement of word similarity in Brazilian Portuguese. Experiments were carried out with the lexical database WordNet, using different techniques over a standard dataset. The results indicate that word embeddings can cover words out of vocabulary and have better results in comparison with lexical approaches. The main contribution of this article is a new approach to apply syntactic context in the training process of word embeddings to a Brazilian Portuguese corpus. The comparison of this model with the outcome of the previous experiments shows sound results and presents relevant complementary aspects.",60024559,Universidade do Vale do Rio dos Sinos,Sao Leopoldo,Brazil,"['1712', '1705', '1702']",15.2,0.19229797979797977,0.4460858585858586,0
8,8,Rapid cell phase imaging using quantitative interferometric microscopy with fast shearing phase unwrapping method,"Cell observations and analysis are often required in biological and medical fields for cell condition evaluations and disease diagnostics. Compared to classical methods such as bright/dark field microscopy and fluorescent microscopy, quantitative interferometric microscopy as one of the quantitative phase microscopic techniques is able to provide high contrast image of label free samples thus can be potentially using in live cell imaging. While it often suffers from the low processing speed often due to the heavy computational load in phase unwrapping. In order to accelerate the imaging speed, we design a rapid cell phase imaging technique relying on the fast shearing phase unwrapping method. It can extract the sample information from a single-shot interferogram showing that it can capture live cell images. Moreover, the phase unwrapping process is significantly reduced with accelerated speed. Considering the system can provide quantitative and high-contrast live cell imaging in label free mode with high accuracy, fast speed and large field of view, it can be a potential tool for cell observations and measurements in biological and medical applications.",60007029,Jiangnan University,Wuxi,China,['1706'],24.857142857142858,0.0951534828807556,0.5310714285714285,1
9,9,SIN-KNO: A method of gene regulatory network inference using single-cell transcription and gene knockout data,"As a tool of interpreting and analyzing genetic data, gene regulatory network (GRN) could reveal regulatory relationships between genes, proteins, and small molecules, as well as understand physiological activities and functions within biological cells, interact in pathways, and how to make changes in the organism. Traditional GRN research focuses on the analysis of the regulatory relationships through the average of cellular gene expressions. These methods are difficult to identify the cell heterogeneity of gene expression. Existing methods for inferring GRN using single-cell transcriptional data lack expression information when genes reach steady state, and the high dimensionality of single-cell data leads to high temporal and spatial complexity of the algorithm. In order to solve the problem in traditional GRN inference methods, including the lack of cellular heterogeneity information, single-cell data complexity and lack of steady-state information, we propose a method for GRN inference using single-cell transcription and gene knockout data, called SINgle-cell transcription data-KNOckout data (SIN-KNO), which focuses on combining dynamic and steady-state information of regulatory relationship contained in gene expression. Capturing cell heterogeneity information could help understand the gene expression difference in different cells. So, we could observe gene expression changes more accurately. Gene knockout data could observe the gene expression levels at steady-state of all other genes when one gene is knockout. Classifying the genes before analyzing the single-cell data could determine a large number of non-existent regulation, greatly reducing the number of regulation required for inference. In order to show the efficiency, the proposed method has been compared with several typical methods in this area including GENIE3, JUMP3, and SINCERITIES. The results of the evaluation indicate that the proposed method can analyze the diversified information contained in the two types of data, establish a more accurate gene regulation network, and improve the computational efficiency. The method provides a new thinking for dealing with large datasets and high computational complexity of single-cell data in the GRN inference.",60083500,Shanxi Academy of Agricultural Sciences,Taiyuan,China,['1706'],26.5,0.11908795749704842,0.5177282565918929,1
