,Unnamed: 0,title,abstract,affiliation_code,affiliation_name,affiliation_city,affiliation_country,category,average_length,polarity,subjectivity,passive_active
0,0,Why is my app not working? Is application layer or network layer or optical layer to blame?,"Asia Communications and Photonics Conference (ACP) © OSA 2019Users demand ubiquitous access to applications anytime anywhere but they do not always get optimal service. To improve user experience, we need integrated end-to-end network management and analytics across application, network, and optical (physical) layers.",60023256,Politecnico di Milano,Milan,Italy,['1705'],21.5,0.0,0.14285714285714285,1
1,1,Low latency DBA scheme for 5G mobile service in multilane-based 50G-EPON,Asia Communications and Photonics Conference (ACP) © OSA 2019We present the cyclic-based low latency DBA using grant fragmentation technique to satisfy the latency and bandwidth requirements of 5G mobile services in 50G-EPON. It can achieve the maximum latency of 326-µs and throughput of 20-Gb/s in gold class service even if traffic load increases.,60001558,Electronics and Telecommunications Research Institute,Daejeon,South Korea,['1705'],26.5,0.0,0.15,1
2,2,Understanding social interactions for the design of tangible user interfaces,"Several research works talk about benefits of Tangible User Interfaces in Collaborative work. However, it is still convenient to understand how people interact with tangibles medias in order to design Tangible Interfaces to support Collaboration. In the CSCW domain, we study collaborative activities in order to identify Social Interactions that enable people achieve common goals. Our interest is the development of Tangible User Interfaces to support Collaboration. So, as first step we analysed a group of users in a collaborative task, that allowed us to identify on working space the social interactions between users who used pieces of paper as tangible medias. Then we describe the process of identifying social interactions using the MARS model and introduce some challenges for the design and implementation of Tangible User Interfaces that supports collaborative work.",60007909,Universidad Veracruzana,Xalapa,Mexico,"['1712', '1709', '1707', '1705']",22.0,0.008333333333333333,0.1722222222222222,1
3,3,High-order orbital angular momentum mode generation based on six-mode fiber chiral long-period gratings, The polarization and torsion sensing characteristics of the CLPGs are investigated experimentally.,60023813,Shanghai University,Shanghai,China,['1705'],13.0,0.1,0.4,0
4,4,Tunable multiple fano resonances based on the partial ring resonator connected with a rectangular cavity in a plasmonic system,"Asia Communications and Photonics Conference (ACP) © OSA 2019This paper proposed a compact structure in a plasmonic system. Multiple Fano resonances arose in its transmission spectrum and could be tuned. Because of the sharp asymmetry of Fano resonances, the proposed system was explored as a high efficient refractive index sensor (RIS) with a sensitivity of 1150 nm/RIU and figure of merit (FOM) of 5328.",60016930,Beijing University of Posts and Telecommunications,Beijing,China,['1705'],21.333333333333332,0.011666666666666667,0.43,1
5,5,Invariant information clustering for unsupervised image classification and segmentation,"We present a novel clustering objective that learns a neural network classifier from scratch, given only unlabelled data samples. The model discovers clusters that accurately match semantic classes, achieving state-of-the-art results in eight unsupervised clustering benchmarks spanning image classification and segmentation. These include STL10, an unsupervised variant of ImageNet, and CIFAR10, where we significantly beat the accuracy of our closest competitors by 6.6 and 9.5 absolute percentage points respectively. The method is not specialised to computer vision and operates on any paired dataset samples; in our experiments we use random transforms to obtain a pair from each image. The trained network directly outputs semantic labels, rather than high dimensional representations that need external processing to be usable for semantic clustering. The objective is simply to maximise mutual information between the class assignments of each pair. It is easy to implement and rigorously grounded in information theory, meaning we effortlessly avoid degenerate solutions that other clustering methods are susceptible to. In addition to the fully unsupervised mode, we also test two semi-supervised settings. The first achieves 88.8% accuracy on STL10 classification, setting a new global state-of-the-art over all existing methods (whether supervised, semi-supervised or unsupervised). The second shows robustness to 90% reductions in label coverage, of relevance to applications that wish to make use of small amounts of labels. github.com/xu-ji/IIC.",60026851,University of Oxford,Oxford,United Kingdom,"['1712', '1707']",19.90909090909091,0.05898484848484849,0.40008441558441554,1
6,6,Spiral spin density vectors in three dimensional optical fields,Asia Communications and Photonics Conference (ACP) © OSA 2019A new type of spiral behaviors named as the spiral spin density vectors is introduced. The properties of the spiral spin density vectors and the polarization states are analyzed in three dimensional optical fields.,60003977,Northwestern Polytechnical University,Xi'an,China,['1705'],21.0,0.13636363636363635,0.45454545454545453,1
7,7,Interface of electrical-to-optical data-bus using cascaded racetrack microring resonators,"Asia Communications and Photonics Conference (ACP) © OSA 2019We demonstrated a scalable interface of electrical-to-optical data-bus and fabricated a four-mode-channel prototype. By converting multi-channel electrical signals to orthogonal mode channels of the multimode waveguide, we derived an aggregate data rate of 200 Gbps.",60028265,Lanzhou University,Lanzhou,China,['1705'],21.5,0.0,0.75,1
8,8,Design analysis of novel scissor mechanism for pipeline inspection robot (PIR),"The rapid development of present society accelerates the evolution of pipe transport systems such as drinkable water, gas, petrol, sewage, etc. which is an essential part of our daily life. This trend has created many underground pipelines networks. Maintaining them is expensive due to their underground placement. Maintenance of these underground pipelines has led to the beginning of the research in finding alternative solutions for pipe inspection. An attractive solution to this problem is represented by mobile robots adaptable to the work environment inside pipes. These robots can inspect pipes with a minimum of effort and resources. To cater to this need, a novel design of pipeline inspection robot (PIR) based on the scissor mechanism is hereby proposed, for the inspection of the underground large diameter pipelines. Further, an analysis of the scissor mechanism proposed for the present robot is carried out. The major advantage of this mechanism is that it can cover large diameter ranges (500-1000 mm) of the pipelines. This robot may solve the problems of inspection of the underground pipelines. This robot can overcome the issues of the human factor in labor-intensive or dangerous work and can also act in inaccessible environments during repair and maintenance inside the underground pipelines in various industry and day-to-day life.",60001913,Central Mechanical Engineering Research Institute India,Durgapur,India,"['1712', '1709', '1707', '1705']",17.416666666666668,0.03537946428571429,0.4207589285714286,1
9,9,An enhanced structured-light modulation system for defect detection of specular surface,"Asia Communications and Photonics Conference (ACP) © OSA 2019The structured-light modulation analysis technique can be used to detect the defects on the specular surface. Based on this techinque, an enhanced modulation system is proposed in this paper, which gets better detection results.",60005465,University of Electronic Science and Technology of China,Chengdu,China,['1705'],21.0,0.5,0.5,1
